Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Temp
21429.081,44650.605998,25.828881,26.52712,42.42256,89.810752,293.831878,527.014533,553.481639,552.352633,547.902793,445.679877,559.0
21430.067,44650.60601,25.828881,26.52712,42.42256,89.810752,293.831878,527.014533,553.481639,552.352633,547.902793,445.679877,559.0
21431.066,44650.606022,25.838306,26.527813,42.434889,89.825575,293.810573,526.498955,553.378231,552.24654,547.729363,445.532269,558.9
21432.06,44650.606033,25.838306,26.527813,42.434889,89.825575,293.810573,526.498955,553.378231,552.24654,547.729363,445.532269,558.9
21433.034,44650.606044,25.838306,26.527813,42.434889,89.825575,293.810573,526.498955,553.378231,552.24654,547.729363,445.532269,558.9
21434.094,44650.606056,25.838306,26.527813,42.434889,89.825575,293.810573,526.498955,553.378231,552.24654,547.729363,445.532269,558.8
21435.05,44650.606068,25.838306,26.527813,42.434889,89.825575,293.810573,526.498955,553.378231,552.24654,547.729363,445.532269,558.8
21436.005,44650.606079,25.827813,26.523576,42.427871,89.842528,293.778959,526.01342,553.258255,552.146026,547.53847,445.379821,558.8
21437.063,44650.606091,25.827813,26.523576,42.427871,89.842528,293.778959,526.01342,553.258255,552.146026,547.53847,445.379821,558.7
21438.018,44650.606102,25.827813,26.523576,42.427871,89.842528,293.778959,526.01342,553.258255,552.146026,547.53847,445.379821,558.7
21439.076,44650.606114,25.827813,26.523576,42.427871,89.842528,293.778959,526.01342,553.258255,552.146026,547.53847,445.379821,558.6
21440.032,44650.606125,25.827813,26.523576,42.427871,89.842528,293.778959,526.01342,553.258255,552.146026,547.53847,445.379821,558.6
21441.092,44650.606137,25.834731,26.529192,42.445907,89.846109,293.750868,525.5398,553.161846,552.028255,547.353696,445.231153,558.5
21442.045,44650.606148,25.834731,26.529192,42.445907,89.846109,293.750868,525.5398,553.161846,552.028255,547.353696,445.231153,558.5
21443.102,44650.606161,25.834731,26.529192,42.445907,89.846109,293.750868,525.5398,553.161846,552.028255,547.353696,445.231153,558.5
21444.056,44650.606172,25.834731,26.529192,42.445907,89.846109,293.750868,525.5398,553.161846,552.028255,547.353696,445.231153,558.5
21445.011,44650.606183,25.834731,26.529192,42.445907,89.846109,293.750868,525.5398,553.161846,552.028255,547.353696,445.231153,558.5
21446.071,44650.606195,25.835755,26.521843,42.444736,89.861604,293.727009,525.075091,553.051742,551.919716,547.173568,445.085126,558.4
21447.025,44650.606206,25.835755,26.521843,42.444736,89.861604,293.727009,525.075091,553.051742,551.919716,547.173568,445.085126,558.4
