Time (s),Date/Time,Heat Pipe TC-01,Heat Pipe TC-02,Heat Pipe TC-03,Heat Pipe TC-04,Heat Pipe TC-05,Heat Pipe TC-06,Heat Pipe TC-07,Heat Pipe TC-08,Heat Pipe TC-09,Heat Pipe TC-10,Heater Power (W),Heater Temp
5659.031,44650.423475,21.942793,22.39933,32.630311,63.650359,192.591574,402.88789,511.734662,527.055939,512.273422,394.082288,850.5,528.4
5660.085,44650.423487,21.942793,22.39933,32.630311,63.650359,192.591574,402.88789,511.734662,527.055939,512.273422,394.082288,850.5,528.4
5661.031,44650.423498,21.95244,22.390271,32.650071,63.668324,192.696377,403.016167,511.960915,527.126422,512.433876,394.198337,621.0,528.4
5662.082,44650.42351,21.95244,22.390271,32.650071,63.668324,192.696377,403.016167,511.960915,527.126422,512.433876,394.198337,621.0,528.5
5663.03,44650.423521,21.95244,22.390271,32.650071,63.668324,192.696377,403.016167,511.960915,527.126422,512.433876,394.198337,621.0,528.5
5664.085,44650.423533,21.95244,22.390271,32.650071,63.668324,192.696377,403.016167,511.960915,527.126422,512.433876,394.198337,621.0,528.5
5665.031,44650.423544,21.95244,22.390271,32.650071,63.668324,192.696377,403.016167,511.960915,527.126422,512.433876,394.198337,850.5,528.5
5666.086,44650.423556,21.945106,22.400933,32.656444,63.705434,192.782547,403.157286,512.167363,527.229739,512.579796,394.321428,850.5,528.6
5667.034,44650.423567,21.945106,22.400933,32.656444,63.705434,192.782547,403.157286,512.167363,527.229739,512.579796,394.321428,850.5,528.6
5668.087,44650.42358,21.945106,22.400933,32.656444,63.705434,192.782547,403.157286,512.167363,527.229739,512.579796,394.321428,850.5,528.6
5669.036,44650.42359,21.945106,22.400933,32.656444,63.705434,192.782547,403.157286,512.167363,527.229739,512.579796,394.321428,823.5,528.6
5670.087,44650.423603,21.945106,22.400933,32.656444,63.705434,192.782547,403.157286,512.167363,527.229739,512.579796,394.321428,823.5,528.7
5671.036,44650.423614,21.942998,22.397997,32.658316,63.730105,192.866525,403.303664,512.388559,527.310739,512.718162,394.431138,823.5,528.7
5672.087,44650.423626,21.942998,22.397997,32.658316,63.730105,192.866525,403.303664,512.388559,527.310739,512.718162,394.431138,823.5,528.7
5673.037,44650.423637,21.942998,22.397997,32.658316,63.730105,192.866525,403.303664,512.388559,527.310739,512.718162,394.431138,823.5,528.7
5674.089,44650.423649,21.942998,22.397997,32.658316,63.730105,192.866525,403.303664,512.388559,527.310739,512.718162,394.431138,823.5,528.8
5675.086,44650.423661,21.942998,22.397997,32.658316,63.730105,192.866525,403.303664,512.388559,527.310739,512.718162,394.431138,823.5,528.8
5676.088,44650.423672,21.946251,22.395567,32.671367,63.754585,192.957342,403.427618,512.611747,527.397092,512.859533,394.545799,823.5,528.8
5677.077,44650.423684,21.946251,22.395567,32.671367,63.754585,192.957342,403.427618,512.611747,527.397092,512.859533,394.545799,823.5,528.9
5678.048,44650.423695,21.946251,22.395567,32.671367,63.754585,192.957342,403.427618,512.611747,527.397092,512.859533,394.545799,823.5,528.9
5679.009,44650.423706,21.946251,22.395567,32.671367,63.754585,192.957342,403.427618,512.611747,527.397092,512.859533,394.545799,823.5,528.9
5680.066,44650.423718,21.946251,22.395567,32.671367,63.754585,192.957342,403.427618,512.611747,527.397092,512.859533,394.545799,823.5,528.9
5681.015,44650.423729,21.952858,22.395897,32.683315,63.777872,193.05002,403.569581,512.833749,527.493347,513.009135,394.6743,594.0,528.9
5682.065,44650.423741,21.952858,22.395897,32.683315,63.777872,193.05002,403.569581,512.833749,527.493347,513.009135,394.6743,594.0,528.9
5683.014,44650.423752,21.952858,22.395897,32.683315,63.777872,193.05002,403.569581,512.833749,527.493347,513.009135,394.6743,594.0,528.9
5684.064,44650.423764,21.952858,22.395897,32.683315,63.777872,193.05002,403.569581,512.833749,527.493347,513.009135,394.6743,594.0,528.9
5685.009,44650.423775,21.952858,22.395897,32.683315,63.777872,193.05002,403.569581,512.833749,527.493347,513.009135,394.6743,1080.0,529.0
5686.064,44650.423788,21.954946,22.390409,32.690431,63.803428,193.135155,403.700569,513.063884,527.563477,513.143563,394.789757,1080.0,529.0
5687.013,44650.423799,21.954946,22.390409,32.690431,63.803428,193.135155,403.700569,513.063884,527.563477,513.143563,394.789757,1080.0,529.0
5688.064,44650.423811,21.954946,22.390409,32.690431,63.803428,193.135155,403.700569,513.063884,527.563477,513.143563,394.789757,1080.0,529.0
5689.013,44650.423822,21.954946,22.390409,32.690431,63.803428,193.135155,403.700569,513.063884,527.563477,513.143563,394.789757,1093.5,529.1
5690.064,44650.423834,21.954946,22.390409,32.690431,63.803428,193.135155,403.700569,513.063884,527.563477,513.143563,394.789757,1093.5,529.1
5691.014,44650.423845,21.962662,22.399779,32.70512,63.832152,193.226326,403.847646,513.276907,527.634542,513.275002,394.915197,1093.5,529.1
5692.065,44650.423857,21.962662,22.399779,32.70512,63.832152,193.226326,403.847646,513.276907,527.634542,513.275002,394.915197,1093.5,529.2
5693.019,44650.423868,21.962662,22.399779,32.70512,63.832152,193.226326,403.847646,513.276907,527.634542,513.275002,394.915197,850.5,529.2
5694.07,44650.42388,21.962662,22.399779,32.70512,63.832152,193.226326,403.847646,513.276907,527.634542,513.275002,394.915197,850.5,529.2
5695.019,44650.423891,21.962662,22.399779,32.70512,63.832152,193.226326,403.847646,513.276907,527.634542,513.275002,394.915197,850.5,529.2
5696.072,44650.423903,21.951747,22.402717,32.708758,63.866468,193.318657,403.973024,513.497115,527.718048,513.415758,395.030367,850.5,529.3
5697.022,44650.423914,21.951747,22.402717,32.708758,63.866468,193.318657,403.973024,513.497115,527.718048,513.415758,395.030367,621.0,529.3
5698.074,44650.423927,21.951747,22.402717,32.708758,63.866468,193.318657,403.973024,513.497115,527.718048,513.415758,395.030367,621.0,529.3
5699.022,44650.423938,21.951747,22.402717,32.708758,63.866468,193.318657,403.973024,513.497115,527.718048,513.415758,395.030367,621.0,529.3
5700.074,44650.42395,21.951747,22.402717,32.708758,63.866468,193.318657,403.973024,513.497115,527.718048,513.415758,395.030367,621.0,529.4
5701.024,44650.423961,21.956002,22.408984,32.715641,63.888812,193.40415,404.106374,513.714617,527.814527,513.56681,395.157955,850.5,529.4
5702.075,44650.423973,21.956002,22.408984,32.715641,63.888812,193.40415,404.106374,513.714617,527.814527,513.56681,395.157955,850.5,529.4
5703.023,44650.423984,21.956002,22.408984,32.715641,63.888812,193.40415,404.106374,513.714617,527.814527,513.56681,395.157955,850.5,529.4
